status,size,method,path,user_agent,hour_of_day
404,339,0,0,55,10
304,0,0,0,49,10
304,0,0,0,49,10
304,0,0,1,64,10
304,0,0,0,49,10
404,324,0,0,53,10
304,0,0,0,40,10
404,339,0,1,64,10
404,329,0,0,110,10
304,0,0,1,66,10
404,340,0,0,53,10
404,340,0,1,64,10
404,336,0,1,64,10
404,337,0,1,66,10
404,324,0,0,49,10
404,336,0,1,64,10
404,336,0,1,64,10
304,0,0,0,55,10
304,0,0,0,64,10
304,0,0,1,66,10
304,0,0,1,55,10
404,337,0,0,53,10
200,0,1,1,110,10
404,324,0,1,55,10
304,0,0,0,55,10
404,336,0,0,54,10
304,0,0,1,66,10
304,0,0,0,66,10
304,0,0,1,49,10
304,0,0,1,49,10
304,0,0,1,49,10
304,0,0,1,64,10
304,0,0,0,64,10
404,340,0,0,49,10
404,339,0,0,53,10
404,326,0,1,110,10
404,336,0,1,64,10
404,338,0,1,64,10
404,337,0,0,49,10
304,0,0,1,66,10
304,0,0,1,64,10
404,336,0,1,64,10
404,324,0,0,55,10
404,337,0,1,64,10
404,336,0,0,49,10
404,336,0,0,64,10
404,324,0,1,49,10
404,339,0,0,64,10
404,337,0,1,64,10
200,951,0,1,133,10
404,339,0,0,49,10
304,0,0,0,50,10
404,336,0,0,53,10
404,325,0,1,49,10
304,0,0,1,49,10
404,341,0,0,53,10
404,340,0,0,50,10
404,341,0,0,50,10
404,324,0,0,50,10
404,340,0,0,49,10
304,0,0,1,64,10
304,0,0,1,64,10
304,0,0,1,64,10
404,340,0,0,49,10
404,338,0,0,53,10
404,340,0,0,55,10
304,0,0,1,66,10
304,0,0,0,49,10
304,0,0,1,54,10
304,0,0,0,49,10
304,0,0,1,53,10
304,0,0,0,64,10
304,0,0,0,54,10
404,339,0,0,53,10
404,336,0,1,66,10
404,332,0,0,49,10
404,324,0,0,49,10
404,339,0,1,64,10
404,339,0,0,55,10
404,333,0,0,64,10
404,341,0,1,64,10
304,0,0,0,55,10
304,0,0,1,66,10
304,0,0,1,66,10
404,336,0,0,53,10
404,338,0,1,64,10
404,336,0,1,64,10
404,324,0,0,55,10
304,0,0,1,64,10
200,0,1,1,110,10
404,337,0,1,64,10
404,336,0,0,53,10
200,0,1,1,110,10
404,333,0,0,54,10
304,0,0,1,66,10
304,0,0,1,64,11
304,0,0,1,64,11
404,333,0,0,53,11
404,340,0,1,55,11
404,338,0,1,64,11
304,0,0,0,54,11
404,339,0,1,64,11
404,340,0,1,64,11
404,336,0,1,64,11
404,340,0,0,49,11
404,339,0,1,64,11
404,339,0,1,64,11
304,0,0,0,66,11
404,337,0,0,49,11
404,339,0,0,49,11
304,0,0,1,64,11
304,0,0,1,64,11
404,341,0,0,49,11
404,336,0,0,49,11
304,0,0,0,64,11
200,951,0,1,133,11
304,0,0,0,64,11
304,0,0,1,66,11
304,0,0,0,64,11
404,340,0,0,55,11
404,338,0,0,55,11
404,336,0,0,64,11
404,341,0,0,55,11
404,336,0,1,64,11
404,338,0,1,64,11
404,339,0,1,64,11
304,0,0,0,49,11
304,0,0,0,54,11
404,338,0,1,66,11
304,0,0,0,64,11
404,339,0,0,55,11
404,337,0,0,49,11
304,0,0,1,49,11
304,0,0,1,49,11
404,340,0,0,50,11
404,337,0,0,50,11
404,324,0,0,49,11
404,338,0,0,50,11
304,0,0,1,66,11
304,0,0,1,66,11
404,339,0,1,64,11
404,340,0,0,49,11
404,324,0,1,49,11
304,0,0,1,64,11
304,0,0,1,66,11
200,0,1,1,110,11
404,341,0,1,64,11
404,337,0,0,49,11
304,0,0,0,54,11
404,336,0,1,64,11
404,336,0,1,64,11
404,340,0,0,55,11
404,336,0,0,55,11
304,0,0,0,64,11
404,336,0,1,64,11
200,2582,0,1,133,11
304,0,0,1,66,11
304,0,0,0,64,11
404,337,0,1,64,11
404,336,0,1,64,11
304,0,0,1,54,11
404,341,0,1,64,11
404,334,0,0,49,11
404,340,0,1,110,11
304,0,0,0,64,11
404,336,0,1,64,11
404,339,0,1,64,11
304,0,0,1,64,11
304,0,0,1,64,11
404,336,0,0,49,11
404,339,0,0,49,11
404,338,0,1,64,11
404,337,0,1,55,11
404,324,0,1,53,11
404,340,0,1,64,11
404,338,0,0,49,11
404,334,0,0,64,11
404,339,0,1,64,11
404,324,0,0,54,11
304,0,0,1,66,11
304,0,0,1,66,11
404,337,0,0,49,11
404,337,0,1,55,11
404,336,0,1,66,11
404,338,0,0,55,11
404,341,0,0,49,11
304,0,0,0,64,11
304,0,0,1,66,11
404,337,0,0,55,11
304,0,0,1,64,11
404,338,0,1,64,11
404,340,0,1,66,11
404,331,0,0,64,11
404,338,0,1,64,11
304,0,0,1,64,11
404,341,0,1,64,11
404,340,0,0,49,11
404,341,0,0,64,11
404,336,0,1,64,11
404,339,0,0,50,11
404,339,0,0,49,11
404,337,0,0,49,11
404,337,0,0,50,11
404,339,0,0,50,11
304,0,0,1,64,11
404,339,0,1,110,11
404,337,0,0,55,11
304,0,0,1,64,11
304,0,0,1,55,11
404,339,0,0,49,11
200,0,1,1,110,11
404,339,0,1,64,11
404,341,0,0,55,11
404,331,0,0,49,12
404,337,0,1,64,12
404,324,0,0,54,12
404,336,0,1,64,12
304,0,0,0,55,12
304,0,0,0,55,12
404,341,0,1,64,12
404,340,0,0,64,12
404,341,0,1,64,12
404,338,0,1,64,12
404,340,0,1,66,12
404,336,0,1,64,12
404,333,0,1,66,12
404,338,0,1,49,12
404,333,0,1,64,12
404,340,0,1,66,12
404,336,0,0,49,12
404,339,0,1,55,12
404,341,0,0,49,12
404,339,0,0,55,12
404,339,0,0,49,12
304,0,0,1,55,12
404,338,0,1,64,12
404,338,0,0,49,12
404,340,0,1,66,12
304,0,0,1,64,12
404,340,0,1,64,12
404,336,0,1,64,12
404,333,0,1,64,12
404,339,0,0,49,12
404,338,0,1,64,12
404,340,0,1,64,12
304,0,0,0,64,12
404,340,0,0,54,12
304,0,0,0,64,12
404,333,0,1,64,12
304,0,0,1,64,12
404,337,0,0,49,12
304,0,0,1,54,12
200,0,1,1,110,12
404,339,0,0,55,12
304,0,0,1,55,12
404,339,0,0,49,12
404,338,0,0,64,12
404,340,0,1,64,12
404,337,0,1,66,12
404,337,0,1,53,12
404,336,0,0,49,12
404,331,0,0,64,12
404,336,0,0,50,12
404,339,0,0,55,12
404,336,0,0,50,12
404,336,0,1,64,12
404,337,0,0,64,12
404,337,0,0,54,12
404,339,0,0,50,12
404,338,0,1,64,12
404,336,0,1,64,12
404,339,0,1,64,12
404,338,0,1,64,12
404,337,0,1,66,12
404,336,0,0,55,12
404,338,0,1,64,12
304,0,0,0,64,12
404,336,0,0,49,12
404,336,0,1,55,12
404,339,0,1,64,12
200,2573,0,0,133,12
304,0,0,1,55,12
404,336,0,0,49,12
404,337,0,1,66,12
404,337,0,1,66,12
404,324,0,1,55,12
404,338,0,0,49,12
404,337,0,1,64,12
304,0,0,1,64,12
404,338,0,0,55,12
404,328,0,0,64,12
404,341,0,0,49,12
404,336,0,0,49,12
404,335,0,1,110,12
404,339,0,0,54,12
404,341,0,1,64,12
404,339,0,0,49,12
404,339,0,1,64,12
304,0,0,1,64,12
404,341,0,1,64,12
404,334,0,1,110,12
404,336,0,0,54,12
404,339,0,0,64,12
404,337,0,1,49,12
404,340,0,0,64,12
404,336,0,0,49,12
404,339,0,1,66,12
